GitHub_URL,misuse_count_of_Early_Stopping,misuse_count_of_Data_Drift,misuse_count_of_Testing_Schema_Mismatch,misuse_count_of_Improper_Handling_ML_API_Limit,misuse_count_of_Training_Checkpoint,misuse_count_of_batch
https://github.com/0wuxinyun/Microsoft_AI_Competition,1,1,1,1,0,1
https://github.com/1010code/Flask-API-example-with-ML-model-GCP,1,1,1,0,0,0
https://github.com/10xNation/google-sentiment-analysis,1,1,1,1,0,0
https://github.com/99sbr/fastapi-template,1,1,1,1,1,0
https://github.com/ABDFMSM/AOAI-RAG-Sources,1,1,1,0,0,0
https://github.com/AHaryanto/azure-automl-mlops,1,1,1,1,0,0
https://github.com/AI-Engineer-Foundation/agent-protocol,1,1,1,0,0,0
https://github.com/AIAnytime/Azure-Enterprise-Private-GPT-App,1,1,1,1,0,0
https://github.com/AIchenkai/EasyLLM,1,1,1,0,0,0
https://github.com/AJV009/mood_detector,1,1,1,1,0,0
https://github.com/AUTOMATIC1111/stable-diffusion-webui,1,1,1,0,0,1
https://github.com/Aashish-1008/ml-trainer,1,1,1,0,0,0
https://github.com/Ai-Austin/Bing-GPT-Voice-Assistant,1,1,1,0,0,0
https://github.com/AjinkyaGhadge/Google-Cloud-based-ALPR,1,1,1,0,0,0
https://github.com/Alaa-Dawoud/Azure-Cognitive,1,1,1,0,0,0
https://github.com/Alekh-sinha/google_translator,1,1,1,1,0,2
https://github.com/Alexander-Urbina/Machine-Learning-with-Tensolflow-on-GCP,1,1,1,0,0,0
https://github.com/AndreCerva/Using-Azure-Custom-Vision-IoT-Hub-and-Raspberry-to-object-detection,1,1,1,1,0,0
https://github.com/Andrik-Ts-019/Face-detection-with-attributes,1,1,1,0,0,0
https://github.com/Aniket-Gamre/An-end-to-end-automated-AWS-Data-Lake-Formation-using-Amazon-Forecast,1,1,1,0,1,0
https://github.com/AninditaGuha98/Learning-Management-System-serverless-application,1,1,1,1,1,1
https://github.com/Anrufliste/dt-sms-api-sdk-python,1,1,1,0,0,1
https://github.com/AntonioBorssat0/OpenAI-AzureCognitiveSerach,1,1,1,1,0,1
https://github.com/AntonioBorssat0/azure-cognitive-services-with-python,1,1,1,1,0,0
https://github.com/Ark-kun/google_cloud_mlflow,1,1,1,1,0,0
https://github.com/Ashi-commits/FaceMaskDetection_with_Azure,1,1,1,0,0,0
https://github.com/Ashish-Bhoi/OCR_GCV_API,1,1,1,1,0,0
https://github.com/Auto1111SDK/Auto1111SDK,1,1,1,1,1,1
https://github.com/Autonoma-AI/vertex-pipeline-example,1,1,1,1,1,0
https://github.com/Avi197/Google-Cloud-Platform-Document-AI,1,1,1,1,0,0
https://github.com/Ayoola/face-detection,1,1,1,0,0,0
https://github.com/Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,1,1,1,1,1,1
https://github.com/Azure-Samples/MLOpsDatabricks,1,1,1,1,0,2
https://github.com/Azure-Samples/MachineLearning-MusicGeneration,1,1,1,1,0,0
https://github.com/Azure-Samples/MachineLearningSamples-ImageClassificationUsingCntk,1,1,1,1,0,0
https://github.com/Azure-Samples/ai-rag-chat-evaluator,1,1,1,1,0,2
https://github.com/Azure-Samples/aistudio-python-langchain-sample,1,1,1,1,0,0
https://github.com/Azure-Samples/azure-cosmos-db-graph-python-getting-started,1,1,1,0,0,0
https://github.com/Azure-Samples/azure-cosmos-db-python-getting-started,1,1,1,1,0,0
https://github.com/Azure-Samples/azure-search-openai-demo,1,1,1,1,0,2
https://github.com/Azure-Samples/azure-sql-db-django,1,1,1,0,0,0
https://github.com/Azure-Samples/azure-sql-db-python-rest-api,1,1,1,1,0,0
https://github.com/Azure-Samples/azureai-assistant-tool,1,1,1,1,0,1
https://github.com/Azure-Samples/chat-with-your-data-solution-accelerator,1,1,1,0,0,1
https://github.com/Azure-Samples/functions-python-azureml-azurefunctions-deeplearning,1,1,1,1,0,0
https://github.com/Azure-Samples/functions-python-tensorflow-tutorial,1,1,1,1,1,0
https://github.com/Azure-Samples/ms-identity-python-on-behalf-of,1,1,1,0,0,0
https://github.com/Azure-Samples/ms-identity-python-webapi-azurefunctions,1,1,1,1,0,0
https://github.com/Azure/Azure-Machine-Learning-Adoption-Framework,1,1,1,1,0,0
https://github.com/Azure/DevOps-For-AI-Apps,1,1,1,0,0,0
https://github.com/Azure/IntelligentEdgeHOL,1,1,1,0,0,1
https://github.com/Azure/ObjectDetectionUsingCntk,1,1,1,0,0,0
https://github.com/Azure/PyRIT,1,1,1,1,0,0
https://github.com/Azure/Stormspotter,1,1,1,1,0,0
https://github.com/Azure/aistudio-copilot-sample,1,1,1,1,0,0
https://github.com/Azure/aml-compute,1,1,1,1,0,0
https://github.com/Azure/aml-deploy,1,1,1,1,0,0
https://github.com/Azure/aml-registermodel,1,1,1,1,0,0
https://github.com/Azure/aml-run,1,1,1,1,0,0
https://github.com/Azure/aml-template,1,1,1,1,0,0
https://github.com/Azure/aml-workspace,1,1,1,1,0,0
https://github.com/Azure/azcv,1,1,1,1,0,0
https://github.com/Azure/azspeech2txt,1,1,1,1,0,0
https://github.com/Azure/azure-capi-cli-extension,1,1,1,1,0,0
https://github.com/Azure/azure-docs-sdk-java,1,1,1,0,0,0
https://github.com/Azure/intelligent-app-workshop,1,1,1,0,0,0
https://github.com/Azure/mlops-project-template,1,1,1,1,0,0
https://github.com/Azure/mlops-templates,1,1,1,1,1,0
https://github.com/Azure/review-checklists,1,1,1,0,0,2
https://github.com/Banbury-inc/BubbasBrains,1,1,1,1,0,1
https://github.com/BastinFlorian/RAG-on-GCP-with-VertexAI,1,1,1,1,0,1
https://github.com/BerriAI/litellm,1,1,1,0,1,1
https://github.com/Bert-JanP/Hunting-Queries-Detection-Rules,1,1,1,0,0,0
https://github.com/BillGPT/AzureBingAI,1,1,1,0,0,0
https://github.com/BingHongLi/ncu_gcp_ai_project,1,1,1,1,1,0
https://github.com/BiomedSciAI/histocartography,1,1,1,0,0,1
https://github.com/BlakeAvery/PottyPot,1,1,1,1,0,1
https://github.com/Boburmirzo/datox-azure-ai-search-example,1,1,1,1,0,0
https://github.com/Branyac/tello-innovation-challenge,1,1,1,1,0,0
https://github.com/BrentenDovey-ACG/azure-ai-cognitive-services-cli-tool,1,1,1,1,0,0
https://github.com/BrianGK314/BOOK-AI,1,1,1,1,0,0
https://github.com/CCExtractor/Rekognition,1,1,1,1,1,1
https://github.com/CaravelApp/serverless-example,1,1,1,0,0,0
https://github.com/Carleslc/ImageToText,1,1,1,1,0,0
https://github.com/ChatGPT4U/azure_building_systems_w_chatgpt_api,1,1,1,0,0,0
https://github.com/ChavanVaishu18/AITranslateHub,1,1,1,0,0,0
https://github.com/ClareNewman/sentiment-analysis,1,1,1,1,0,0
https://github.com/Cloud-Community-Group/Azure-Cognitive-Services_Sentiment-Analysis,1,1,1,1,0,0
https://github.com/CloudAdvocacy/ObjectDetection,1,1,1,0,0,0
